Broken_image,ID,Make,Supername,Year,Model,Status,Real,Type,Class,Perf. Class,Max Rank,Stars,Unlock,Star Value,Category,Brand,Series,Country,Reserve List,Desc. Source,Description,Broken_Image,,_1,_2,_3,_4,_5,_6,_7,_8 
FALSE,186,Dodge,,2018,Challenger SRT Demon,Rare,Real,Drag,A,#REF!,,,,,Modern Muscle,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,3687,Dodge,,2024,Challenger SRT Jailbreak,,,,,,,,,,,Cool Chic Auto,,,,,,,,,,,,,,,
FALSE,2572,Dodge,,,Challenger SRT8,,,,,,,,,,Modern Muscle,Maisto,Fresh Metal,,,,,,,,,,,,,,
FALSE,183,Dodge,,2008,Challenger SRT8,Rare,Real,Road,C,#REF!,,,,,Modern Muscle,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,3716,Dodge,,2008,Challenger SRT8,,,,,,,,,,Modern Muscle,Hot Wheels,,,,,,,,,,,,,,,
FALSE,198,Dodge,,2008,Challenger SRT8,Rare,Real,Road,C,#REF!,,,,,,Matchbox,,,No,,,,,,,,,,,,
FALSE,3717,Dodge,,2008,Challenger SRT8,,,,,,,,,,,Matchbox,,,,,,,,,,,,,,,
FALSE,2935,Dodge,Brazilian,1974,Charger,,,,,,,,,,,Hot Wheels,2025 HW Celebration Racers,,,,,,,,,,,,,,
FALSE,1870,Dodge,,1969,Charger 500,,,,,,,,,,,Hot Wheels,2021 HW Flames 5-Pack,,,,,,,,,,,,,,
FALSE,191,Dodge,,1969,Charger Daytona,Rare,Real,Drag,A,#REF!,,,,,Classic Muscle,Hot Wheels,2017 Muscle Mania 5-Pack,,No,,,,,,,,,,,,
FALSE,199,Dodge,,,Charger Drift Pursuit,Police,Real,Race,R2,R2,,,,,,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,192,Dodge,,1970,Charger Fast & Furious,Rare,Real,Offroad,A,#REF!,,,,,Unlimited Offroad,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,1904,Dodge,,2020,Charger Funny Car Hawaiian Tribute,,,,,,,,,,,Auto World,2022 Deluxe Target Exclusive 4-Pack,,,,,,,,,,,,,,
FALSE,200,Dodge,,,Charger Interceptor,Police,Real,Road,C,#REF!,,,,,,,,,No,,,,,,,,,,,,
FALSE,202,Dodge,,2012,Charger Police Interceptor,Police,Real,Road,B,#REF!,,,,,,Matchbox,,,No,,,,,,,,,,,,
FALSE,201,Dodge,,,Charger Pursuit,Police,Real,Road,C,#REF!,,,,,,Matchbox,,,No,,,,,,,,,,,,
FALSE,3065,Dodge,,1967,Charger R/T,,,,,,,,,,,Majorette,Racing Cars,,,,,,,,,,,,,,
FALSE,1772,Dodge,Dom's,1970,Charger R/T,,,,,,,,,,Classic Muscle,Hot Wheels,2023 Fast & Furious 5-Pack,,,,,,,,,,,,,,
FALSE,184,Dodge,,2011,Charger R/T,Standard,Real,Road,D,#REF!,,,Showroom,,Modern Muscle,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,203,Dodge,,,Charger R/T Concept,Rare,Real,Road,C,#REF!,,,,,,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,185,Dodge,,2015,Charger SRT,Rare,Real,Road,B,#REF!,,,,,Modern Muscle,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,3416,Dodge,,2015,Charger SRT,,,,,,,,,,,Hot Wheels,,,,,,,,,,,,,,,
FALSE,204,Dodge,,2005,Charger Stock Car,Rare,Real,Race,R2,R2,,,,,Oval Stock Cars,Hot Wheels,2019 HW Race Day (Blue),,No,,,,,,,,,,,,
FALSE,1024,Dodge,,2005,Charger Stock Car,Special Ed.,Real,Race,R2,,,,,,Oval Stock Cars,Hot Wheels,2019 HW Race Day (Red),USA,No,,,,,,,,,,,,
FALSE,1049,Dodge,,,Charger Stock Car Chivas Racing,Rare,Real,Race,R2,,,,,,Oval Stock Cars,Generic,Promotional,USA,No,,,,,,,,,,,,
FALSE,205,Dodge,,,Concept Car,Rare,Real,Road,C,#REF!,,,,,Retro Concepts,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,2542,Dodge,,1976,Coronet,,,,,,,,,,Classic Muscle,Welly,1/60,,,,,,,,,,,,,,
FALSE,189,Dodge,,1959,Coronet Pace Car,Rare,Real,Road,E,,,,,,,Matchbox,,,No,,,,,,,,,,,,
FALSE,190,Dodge,,1968,D-200,Rare,Real,Offroad,E,E,,,,,,Matchbox,,,No,,,,,,,,,,,,
FALSE,195,Dodge,,1987,D100,Rare,Real,Offroad,C,#REF!,,,M.sport Season,,Unlimited Offroad,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,2541,Dodge,,1984,Daytona,,,,,,,,,,Retro Muscle,Welly,1/60,,,,,,,,,,,,,,
FALSE,908,Dodge,,2018,Durango,Rare,Real,Offroad,B,,,?????,2022 Advent,5,Sports Utility Heroes,Matchbox,,,No,,,,,,,,,,,,
FALSE,1868,Dodge,,1968,HEMI Barracuda,,,,,,,,,,,Hot Wheels,2021 HW Flames 5-Pack,,,,,,,,,,,,,,
FALSE,193,Dodge,,1970,Hemi Challenger,Standard,Real,Road,B,#REF!,,,Showroom,,,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,206,Dodge,,,Ice Charger,Rare,Real,Offroad,B,#REF!,,,,,Retro Concepts,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,1055,Dodge,,2001,Intrepid Stock Car Cheerios #43,,,Race,,,,,,,Oval Stock Cars,Hot Wheels,General Mills Promo,USA,No,,,,,,,,,,,,
FALSE,188,Dodge,,1978,Lil Red Express Truck,Rare,Real,Offroad,E,E,,,,,,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,892,Dodge,,,M80,Rare,Real,Offroad,B,,,,2022 Pre-Advent,,Offroad Concepts,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,1013,Dodge,,2008,Magnum Police,Police,Real,Road,B,,,,,,Super Saloons,Matchbox,2012 Police 5-Pack,USA,No,,,,,,,,,,,,
FALSE,1000,Dodge,,1978,Monaco Police Car,Police,Real,Road,,,,,,,Classic Muscle,Matchbox,2013 MBX Heroic Rescue,USA,No,,,,,,,,,,,,
FALSE,207,Dodge,,,Neon (Drag),Standard,Real,Drag,B,#REF!,,,Showroom,,Drag Strip Demons,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,933,Dodge,,2003,Neon (Drag),Special Ed.,Real,Drag,S,,,?????,2023 New Years,5,Drag Strip Demons,Hot Wheels,2011 HW Drag Racers,USA,No,,,,,,,,,,,,
FALSE,208,Dodge,,2007,Ram 1500,Rare,Real,Offroad,C,#REF!,,,,,,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,1880,Dodge,,1995,Ram 1500 (Race),,,,,,,,,,,Hot Wheels,1996 Just Trucks 5-Pack,,,,,,,,,,,,,,
FALSE,1006,Dodge,,1995,Ram 1500 Truck,Rare,Real,Offroad,,,,,,,Offroad,Hot Wheels,1995 Model Series,USA,No,,,,,,,,,,,,
FALSE,3652,Dodge,,1995,Ram 1500 Truck,,,,,,,,,,Offroad,Hot Wheels,,USA,,,,,,,,,,,,,
FALSE,3359,Dodge,,2006,Ram Power Wagon,,,,,,,,,,,Realtoy,,,,,,,,,,,,,,,
FALSE,209,Dodge,,,Rampage,Rare,Real,Truck,D,#REF!,,,,,,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,210,Dodge,,,Sidewinder Concept,Rare,Real,Road,C,#REF!,,,,,Retro Concepts,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,187,Dodge,,1957,Sweptside,Rare,Real,Truck,E,,,,,,,Matchbox,,,No,,,,,,,,,,,,
FALSE,1209,Dodge,,2003,Tomahawk,,,Road,S,,,,,,Retro Concepts,Hot Wheels,2006 Mopar Madness,USA,Yes,,,,,,,,,,,,
FALSE,211,Dodge,,,Van,Rare,Real,Road,B,#REF!,,,2021 Advent,,Tuners & Imports,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,3408,Dodge,Custom,1977,Van,,,,,,,,,,,Hot Wheels,,,,,,,,,,,,,,,
FALSE,1905,Dodge,,2017,Viper GTC,,,,,,,,,,,Auto World,2022 Deluxe Target Exclusive 4-Pack,,,,,,,,,,,,,,
FALSE,3107,Dodge,,1996,Viper GTS,,,,,,,,,,,Hot Wheels,2025 Then and Now,,,,,,,,,,,,,,
FALSE,212,Dodge,,,Viper GTS-R,Rare,Real,Road,A,#REF!,,,,,Retro Muscle,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,213,Dodge,,,Viper GTSR Concept,Standard,Real,Road,A,#REF!,,,Showroom,,Retro Muscle,Matchbox,,,No,,,,,,,,,,,,
FALSE,214,Dodge,,1992,Viper RT/10,Rare,Real,Road,C,#REF!,,,,,Retro Sports Cars,Hot Wheels,2017 Then And Now,,No,,,,,,,,,,,,
FALSE,1660,Dodge,,1992,Viper RT/10,,,,,,,,,,Retro Sports Cars,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,3318,Dodge,,1992,Viper RT/10,,,,,,,,,,,Hot Wheels,,,,,,,,,,,,,,,
FALSE,1655,Dodge,,2003,Viper RT/10,,,,,,,,,,,High Speed,1:64,,Yes,,,,,,,,,,,,
FALSE,954,Dodge,,2006,Viper SRT10,Rare,Real,Road,A,,,?????,2023 New Years,5,Modern Sports Cars,Hot Wheels,2012 HW Code Cars,USA,No,,,,,,,,,,,,
FALSE,215,Dodge,,,Viper SRT10 ACR,Standard,Real,Race,R3,R3,,????,Showroom,4,GT Racing Unlimited,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,216,Dodge,,,Viper SRT10 ACR,Special Ed.,Real,Race,R3,R3,,????,,4,GT Racing Unlimited,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,2944,Dodge,,,Viper SRT10 ACR,,,,,,,,,,,Hot Wheels,2024 HW Exotics,,,,,,,,,,,,,,
FALSE,217,Dodge,,2008,XP-07,Rare,Real,Road,A,#REF!,,?????,Time Limited MP,5,Modern Concepts,Hot Wheels,2019 Speed Blur 5-Pack,,No,CNN,"Part of Hot Wheels' Design Challenge, the XP-07 is turbine powered, just like the experimental Chrysler turbine cars of the 1960s.",,,,,,,,,,
FALSE,1102,Dome,,1979,ZERO,,,Road,,,,,,,Retro Super Cars,Tomica,Tomica Limited,Japan,Yes,,,,,,,,,,,,
FALSE,1850,Dongfeng,,,EQ1141,,,Truck,,,,,,,Other,CarFansClub,Assortment,,,,,,,,,,,,,,
FALSE,1338,Dragon Racing,,2019,GEOX Penske EV-4,,,Race,,,,,,,Formula e,Majorette,Formula E Giftpack,USA,Yes,,,,,,,,,,,,
FALSE,2498,DS Automobiles,,,3,,,,,,,,,,City Commuters,Norev,Minijet Gold,France,,,,,,,,,,,,,
FALSE,2110,DS Automobiles,,,4,,,,,,,,,,,Majorette,Street Cars,,,,,,,,,,,,,,
FALSE,2268,DS Automobiles,,2015,Divine Concept,,,Road,,,,,,,,Norev,Minijet,,Yes,,,,,,,,,,,,
FALSE,1943,DS Automobiles,,1968,DS21 Pallas,,,,,,,,,,,Matchbox,2023 9-pack Exclusive,,,,,,,,,,,,,,
FALSE,218,DS Automobiles,,2019,Gen 2 Car (Formula e),Rare,Real,Formula,S,#REF!,2870,,,,Formula e,Hot Wheels,,,No,FE Wiki,"DS Techeetah would win both championships for the 2019/20 season, winning 4 of the 11 races taking dominant Team and Drivers championship victories.",,,,,,,,,,
FALSE,1337,DS Automobiles,,2019,Techeetah DS-ETENSE FE20,,,Race,,,,,,,Formula e,Majorette,Formula E Giftpack,China,Yes,,,,,,,,,,,,
FALSE,219,Duesenberg,,1931,Model J,Rare,Real,Road,E,E,,??,Card Packs,2,Vintage Cars,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,2627,E-ONE,,,Mobile Command Vehicle,,,,,,,,,,Other,Matchbox,2011 Real Working Rigs,,,,,,,,,,,,,,
FALSE,2981,Eagle,,1990,Talon Tsi,,,,,,,,,,,Auto World,2024 Release 3 Version A,,,,,,,,,,,,,,
FALSE,2982,Eagle,,1990,Talon Tsi,,,,,,,,,,,Auto World,2024 Release 3 Version B,,,,,,,,,,,,,,
FALSE,1628,Edsel,,1958,'58,,,Road,D,,,,,,Classic Muscle,Hot Wheels,2013 Retro Entertainment,USA,Yes,,,,,,,,,,,,
FALSE,1172,Efini,,1991,Mazda 787B,,,Race,,,,,,,Endurance Legends,Hot Wheels,2021 Car Culture: Team Transport,Japan,Yes,,,,,,,,,,,,
FALSE,3475,Efini,,1991,RX-7 Type R,,,,,,,,,,,Tomica Limited Vintage,,,,,,,,,,,,,,,
FALSE,492,Epperly,,1955,"'Fuel Injection Special' Indy 500 Streamliner ""Turbolence""",Rare,Real,Race,R1,,,??????,Personal Missions,6,Classic Racers,Hot Wheels,,,No,HW Wiki,The Turbolence is based on Howard Keck's Fuel Injection Special (aka. Vukovich streamliner) from 1955.,,,,,,,,,,
FALSE,1636,Eunos,,,Roadster,,,Road,,,,,,,Retro Sports Cars,Mini GT,,,Yes,,,,,,,,,,,,
FALSE,2523,Evasive,,,Honda NSX V2,,,,,,,,,,Tuners & Imports,Kaido House,#137,,,,,,,,,,,,,,
FALSE,1723,Farizon,,,Homtruck,,,,,,,,,,,XCarToys,Orange Box Series,,Yes,,,,,,,,,,,,
FALSE,19,Fast & Furious,,N/A,Astana Hotto,Rare,Real,Road,A,#REF!,,???,Story Mode,3,Modern Rally,Hot Wheels,,,No,HW Wiki,"The Astana Motors Hotto is based off the vehicle of the same name in the Netflix animated series, Fast & Furious Spy Racers.",,,,,,,,,,
FALSE,857,Fast & Furious,,N/A,Hyperfin,Rare,Fictional,Road,X,,,?????,,5,Extreme Track Toys,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,2616,FELD Motorsports,,,Dragon,,,,,,,,,,Monster Trucks,Spin Master,Monster Jam 1/70,,,,,,,,,,,,,,
FALSE,2615,FELD Motorsports,,,El Toro Loco,,,,,,,,,,Monster Trucks,Spin Master,Monster Jam 1/70,,,,,,,,,,,,,,
FALSE,3484,FELD Motorsports,,,El Toro Loco,,,,,,,,,,,Spin Master,Monster Jam 1/70 Wave 3,,,,,,,,,,,,,,
FALSE,2617,FELD Motorsports,,,Grave Digger,,,,,,,,,,Monster Trucks,Spin Master,Monster Jam 1/70,,,,,,,,,,,,,,
FALSE,3482,FELD Motorsports,,,Grave Digger,,,,,,,,,,,Spin Master,Monster Jam 1/70 Wave 3,,,,,,,,,,,,,,
FALSE,3491,FELD Motorsports,,,Grave Digger,,,,,,,,,,,Spin Master,1/64 Two Pack w/ Car,,,,,,,,,,,,,,
FALSE,3492,FELD Motorsports,,,Grave Digger Stock Car,,,,,,,,,,,Spin Master,1/64 Two Pack w/ Car,,,,,,,,,,,,,,
FALSE,3483,FELD Motorsports,,,Megalodon,,,,,,,,,,,Spin Master,Monster Jam 1/70 Wave 3,,,,,,,,,,,,,,
FALSE,2618,FELD Motorsports,,,Megalodon,,,,,,,,,,Monster Trucks,Spin Master,Monster Jam 1/70,,,,,,,,,,,,,,
FALSE,3485,FELD Motorsports,,,Monster Mutt Dalmatian,,,,,,,,,,,Spin Master,Monster Jam 1/70,,,,,,,,,,,,,,
FALSE,3488,FELD Motorsports,,,Monster Mutt Dalmatian,,,,,,,,,,,Spin Master,Monster Jam 1/70 Wave 3,,,,,,,,,,,,,,
FALSE,2614,FELD Motorsports,,,Monster Mutt Rottweiler,,,,,,,,,,Monster Trucks,Spin Master,Monster Jam 1/70,,,,,,,,,,,,,,
FALSE,3487,FELD Motorsports,,,Sparkle Smash,,,,,,,,,,,Spin Master,Monster Jam 1/70,,,,,,,,,,,,,,
FALSE,3486,FELD Motorsports,,,ThunderROARus,,,,,,,,,,,Spin Master,Monster Jam 1/70,,,,,,,,,,,,,,
FALSE,3489,FELD Motorsports,,,ThunderROARus,,,,,,,,,,,Spin Master,Monster Jam 1/70 Wave 3,,,,,,,,,,,,,,
FALSE,3490,FELD Motorsports,,,Zombie,,,,,,,,,,,Spin Master,Monster Jam 1/70,,,,,,,,,,,,,,
FALSE,1816,Ferrari,Didier Pironi's,1982,126 C2 #28,,,,,,,,,,,Kyosho,x DyDo Ferrari F1 Minicar Collection,,,,,,,,,,,,,,
FALSE,2598,Ferrari,,,250 California,,,,,,,,,,Rare Classics,Kyosho,Ferrari Minicar Collection 1,,,,,,,,,,,,,,
FALSE,3659,Ferrari,,,250 GTO,,,,,,,,,,Rare Classics,Bburago,,,,,,,,,,,,,,,
FALSE,221,Ferrari,,,250 GTO,Rare,Real,Road,C,#REF!,,?????,,5,Rare Classics,Hot Wheels,2009 New Models,,No,,,,,,,,,,,,
FALSE,1817,Ferrari,,,250 Le Mans,,,,,,,,,,,Kyosho,Ferrari Minicar Collection VII,,,,,,,,,,,,,,
FALSE,222,Ferrari,,,250 LM,Rare,Real,Race,R1,R1,,,,,Classic Racers,Hot Wheels,2007 New Models,,No,,,,,,,,,,,,
FALSE,3356,Ferrari,,,250 LM,,,,,,,,,,,Hot Wheels,,,,,,,,,,,,,,,
FALSE,223,Ferrari,,,250 Testa Rossa,Rare,Real,Race,R1,,,,Ferrari Season II,,Classic Racers,Hot Wheels,1998 Mainline,,No,,,,,,,,,,,,
FALSE,3518,Ferrari,,,288 GTO,,,,,,,,,,,Kyosho,,,,,,,,,,,,,,,
FALSE,3541,Ferrari,,,296 GTB Assetto Fiorano,,,,,,,,,,,Maisto,,,,,,,,,,,,,,,
FALSE,224,Ferrari,,,308 GTB,Rare,Real,Road,C,,,,Ferrari Season II,,,Hot Wheels,2004 Final Run,,No,,,,,,,,,,,,
FALSE,225,Ferrari,,,333 SP,Rare,Real,Race,X,X,,??????,,6,Endurance Legends,Hot Wheels,2000 First Editions,,No,,,,,,,,,,,,
FALSE,226,Ferrari,,,348,Rare,Real,Road,D,#REF!,,,,,,,,,No,,,,,,,,,,,,
FALSE,220,Ferrari,,,348,Rare,Real,Road,C,#REF!,,,,,,Hot Wheels,2000 Mainline,,No,,,,,,,,,,,,
FALSE,1813,Ferrari,,,360 GTC,,,,,,,,,,,Kyosho,Ferrari Minicar Collection IV,,,,,,,,,,,,,,
FALSE,227,Ferrari,,,360 Modena,Rare,Real,Road,B,#REF!,,,,,,Hot Wheels,2004 Ferrari Heat,,No,,,,,,,,,,,,
FALSE,3315,Ferrari,,,360 Modena,,,,,,,,,,,Hot Wheels,Wheel Swapped,,,,,,,,,,,,,,
FALSE,2995,Ferrari,,1971,365 GTB4 Competizione,,,,,,,,,,,Hot Wheels,2025 HW Race Day,,,,,,,,,,,,,,
FALSE,1818,Ferrari,,1971,365 GTB4 Competizione,,,,,,,,,,,Kyosho,Ferrari Minicar Collection XI,,,,,,,,,,,,,,
FALSE,1232,Ferrari,,1973,365 GTS4,,,Road,,,,,,,Rare Classics,Tomica,Tomica Premium First Edition,Italy,Yes,,,,,,,,,,,,
FALSE,1819,Ferrari,,,412,,,,,,,,,,,Kyosho,Ferrari Minicar Collection IV,,,,,,,,,,,,,,
FALSE,2272,Ferrari,Jean Alesi's,1995,412 T2 #27,,,Formula,,,,,,,,Kyosho,x DyDo Ferrari F1 Minicar Collection,,Yes,,,,,,,,,,,,
FALSE,228,Ferrari,,,430 Scuderia,Rare,Real,Road,A,#REF!,,,,,Modern Super Cars,Hot Wheels,2014 Ferrari 5-Pack,,No,,,,,,,,,,,,
FALSE,229,Ferrari,,,456M,Rare,Real,Road,C,#REF!,,,Season Pass,,GT Cars,Hot Wheels,2004 Ferrari Heat,,No,,,,,,,,,,,,
FALSE,3609,Ferrari,,,456M,,,,,,,,,,GT Cars,Hot Wheels,,,,,,,,,,,,,,,
FALSE,3575,Ferrari,,,456M GT,,,,,,,,,,,Kyosho,Ferrari Minicar Collection 3,,,,,,,,,,,,,,
FALSE,230,Ferrari,,,458 Challenge,Rare,Real,Road,A,#REF!,,?????,Race Ready,5,Track Toys,Hot Wheels,2013 HW Stunt: HW Drift Race,,No,,,,,,,,,,,,
FALSE,231,Ferrari,,,458 Italia,Standard,Real,Road,A,#REF!,,?????,Showroom,5,Modern Super Cars,Hot Wheels,,,No,,,,,,,,,,,,
FALSE,2467,Ferrari,,,458 Italia GT2,,,,,,,,,,GT Racing Unlimited,Kyosho,Ferrari Minicar Collection 12,,,,,,,,,,,,,,
FALSE,2569,Ferrari,,,458 Speciale,,,,,,,,,,Modern Super Cars,Bburago,Ferrari Race & Play,,,,,,,,,,,,,,
FALSE,232,Ferrari,,,458 Spider,Rare,Real,Road,A,#REF!,,,,,Modern Super Cars,Hot Wheels,2012 New Models,,No,,,,,,,,,,,,
FALSE,3288,Ferrari,,,458 Spider,,,,,,,,,,,Hot Wheels,,,,,,,,,,,,,,,
FALSE,1355,Ferrari,,2016,488 GTB,,,Road,,,,,,,Modern Super Cars,Bburago,Ferrari Race & Play,Italy,,,,,,,,,,,,,
FALSE,1233,Ferrari,,2016,488 GTB,,,Road,,,,,,,Modern Super Cars,Tomica,Tomica Standard,Italy,Yes,,,,,,,,,,,,
FALSE,1256,Ferrari,,2016,488 GTB,,,Road,,,,,,,Modern Super Cars,Tomica,Ferrari Collection,Italy,Yes,,,,,,,,,,,,
FALSE,1240,Ferrari,,2016,488 Spider,,,Road,,,,,,,Modern Super Cars,Tomica,Tomica 2021 Ferrari Collection,Italy,Yes,,,,,,,,,,,,
FALSE,1257,Ferrari,,2016,488 Spider,,,Road,,,,,,,Modern Super Cars,Tomica,Ferrari Collection,Italy,Yes,,,,,,,,,,,,
FALSE,3153,Ferrari,,,499P,,,,,,,,,,,Bburago,2025 All In Tuning Event Exclusive,,,,,,,,,,,,,,
FALSE,3154,Ferrari,,,499P,,,,,,,,,,,Hot Wheels,2025 Car Culture Circuit Legends,,,,,,,,,,,,,,
FALSE,1815,Ferrari,,,512 BB LM,,,,,,,,,,,Kyosho,Ferrari Minicar Collection VIII,,,,,,,,,,,,,,
FALSE,3564,Ferrari,,,512 TR,,,,,,,,,,,Tomica,Tomica Premium First Edition,,,,,,,,,,,,,,
FALSE,1227,Ferrari,,1976,512BB,,,Road,,,,,,,Retro Sports Cars,Tomica,Tomica Premium,Italy,Yes,,,,,,,,,,,,
FALSE,233,Ferrari,,,512M,Rare,Real,Race,R2,,,,Ferrari Season II,,Classic Racers,Hot Wheels,2007 Engine Revealers,,No,,,,,,,,,,,,
FALSE,234,Ferrari,,,550 Maranello,Rare,Real,Road,C,#REF!,,,,,GT Cars,Hot Wheels,2003 Ferrari 5-Pack,,No,,,,,,,,,,,,
FALSE,235,Ferrari,,,575 GTC,Rare,Real,Race,R3,R3,,,Defeat Francesco,,GT Racing Unlimited,Hot Wheels,2006 Mainline,,No,,,,,,,,,,,,
FALSE,236,Ferrari,,,575 GTC,Special Ed.,Real,Race,R3,,,,Ferrari Season II,,GT Racing Unlimited,Hot Wheels,2007 Roll-Up Raceway,,No,,,,,,,,,,,,
FALSE,237,Ferrari,,,599 GTB,Rare,Real,Road,A,#REF!,,,Defeat Wolf,,Super GT,Hot Wheels,2009 Ferrari Circuit,,No,,,,,,,,,,,,
FALSE,1760,Ferrari,,,599 GTB,,,,,,,,,,Super GT,SunQ,Racer 6-Pack,,,,,,,,,,,,,,
FALSE,1766,Ferrari,,,599 GTB (Police),,,,,,,,,,Super GT,SunQ,Police 6-Pack,,,,,,,,,,,,,,
FALSE,919,Ferrari,,,599XX,Rare,Real,Road,S,,,??????,2022 Advent,6,Extreme Track Toys,Hot Wheels,2015 HW Workshop: Thrill Racers,,No,,,,,,,,,,,,
FALSE,238,Ferrari,,,612 Scagiletti,Rare,Real,Road,A,#REF!,,,MP League,,Super GT,Hot Wheels,2014 Ferrari 5-Pack,,No,,,,,,,,,,,,
FALSE,2900,Ferrari,,,812 Competizione,,,,,,,,,,Modern Super Cars,Bburago,Ferrari Race & Play,,,,,,,,,,,,,,
FALSE,2517,Ferrari,,,Californa,,,,,,,,,,Super GT,Kyosho,Ferrari Minicar Collection 7,Italy,,,,,,,,,,,,,
FALSE,239,Ferrari,,,California,Rare,Real,Road,B,#REF!,,,,,Modern Super Cars,Hot Wheels,2012 HW All Stars,,No,,,,,,,,,,,,
FALSE,3183,Ferrari,,1956,D50,,,,,,,,,,,DyDo,Ferrari F1,,,,,,,,,,,,,,
FALSE,2899,Ferrari,,,Daytona SP3,,,,,,,,,,Modern Super Cars,Bburago,Ferrari Race & Play,,,,,,,,,,,,,,
FALSE,1428,Ferrari,,,Daytona SP3,,,Road,S,,,,,,Modern Super Cars,Tomica,Tomica Standard,Italy,Yes,,,,,,,,,,,,
FALSE,3184,Ferrari,,1961,Dino 156 F1,,,,,,,,,,,DyDo,Ferrari F1,,,,,,,,,,,,,,
FALSE,240,Ferrari,,2003,Enzo,Standard,Real,Road,S,#REF!,2850,?????,Showroom,5,Retro Super Cars,Hot Wheels,2013 HW Showroom: HW All Stars,,No,,,,,,,,,,,,
FALSE,1339,Ferrari,,2003,Enzo,,,Road,,,,,,,Retro Super Cars,Maisto,Maisto Design Exotics,Italy,,,,,,,,,,,,,
FALSE,1238,Ferrari,,2003,Enzo,,,Road,,,,,,,Retro Super Cars,Tomica,Tomica Standard,Italy,Yes,,,,,,,,,,,,
FALSE,3148,Ferrari,,,Enzo GT Concept,,,,,,,,,,,Kyosho,Ferrari Minicar Collection 50th Anniversary Limited Set,,,,,,,,,,,,,,
FALSE,241,Ferrari,,,F12berlinetta,Rare,Real,Road,S,#REF!,2960,??????,Card Packs,6,Super GT,Hot Wheels,2014 HW City: Speed Team,,No,,,,,,,,,,,,
FALSE,2518,Ferrari,,,F2003-GA,,,,,,,,,,Apex Open-Wheel,Kyosho,x DyDo Ferrari F1 Minicar Collection,Italy,,,,,,,,,,,,,
FALSE,3155,Ferrari,,,F333 SP,,,,,,,,,,,Kyosho,Ferrari Minicar Collection 11,,,,,,,,,,,,,,
FALSE,1536,Ferrari,,,F355,,,,,,,,,,,Tomica,Tomica Premium,,,,,,,,,,,,,,
FALSE,242,Ferrari,,,F355 Challenge,Rare,Real,Race,A,#REF!,,,,,Retro Touring Cars,Hot Wheels,1999 Mainline (Gray),,No,,,,,,,,,,,,
FALSE,2575,Ferrari,,,F355 Challenge,,,,,,,,,,Track Toys,Hot Wheels,2000 Mainline (Yellow),,,,,,,,,,,,,,
FALSE,243,Ferrari,,,F355 Spider,Rare,Real,Road,D,#REF!,,,,,Retro Super Cars,Hot Wheels,2009 Ferrari 5-Pack,,No,,,,,,,,,,,,
FALSE,244,Ferrari,,,F40,Rare,Real,Road,A,#REF!,,,,,Retro Super Cars,Hot Wheels,2014 Ferrari 5-Pack,,No,,,,,,,,,,,,
FALSE,1234,Ferrari,,1986,F40,,,Road,,,,,,,Retro Super Cars,Tomica,Tomica Premium,Italy,Yes,,,,,,,,,,,,
FALSE,3020,Ferrari,,,F40 Competizione,,,,,,,,,,,Hot Wheels,2025 HW Exotics,,,,,,,,,,,,,,
FALSE,1814,Ferrari,,,F430 GT,,,,,,,,,,,Kyosho,Ferrari Minicar Collection III,,,,,,,,,,,,,,
FALSE,245,Ferrari,,,F430 Spider,Rare,Real,Road,B,,,,Ferrari Season II,,Modern Super Cars,Hot Wheels,2009 Dream Garage,,No,,,,,,,,,,,,
FALSE,1235,Ferrari,,1995,F50,,,Road,,,,,,,Retro Super Cars,Tomica,Tomica Premium,Italy,Yes,,,,,,,,,,,,
FALSE,246,Ferrari,,,F50 Challenge,Rare,Real,Road,S,,2750,?????,Ferrari Season II,5,Retro Super Cars,Hot Wheels,2000 Mainline,,No,,,,,,,,,,,,
FALSE,3149,Ferrari,,,F50 GT,,,,,,,,,,,Kyosho,Ferrari Minicar Collection 50th Anniversary Limited Set,,,,,,,,,,,,,,
