Broken_image,ID,Make,Supername,Year,Model,Status,Real,Type,Class,Perf. Class,Max Rank,Stars,Unlock,Star Value,Category,Brand,Series,Country,Reserve List,Desc. Source,Description,Broken_Image,,_1,_2,_3,_4,_5,_6,_7,_8
FALSE,1798,Alfa Romeo,,1992,155,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 1,Italy,,,,,,,,,,,,,
FALSE,1255,Alfa Romeo,,1993,155 V6 TI,,,Race,R2,,,,,,Retro Touring Cars,Hot Wheels,2022 Hot Wheels Boulevard,Italy,Yes,,,,,,,,,,,,
FALSE,2130,Alfa Romeo,,1993,155 V6 TI,,,,,,,,,,,Hot Wheels,2023 Car Culture: Spettacolare,,,,,,,,,,,,,,
FALSE,3615,Alfa Romeo,,1993,155 V6 TI,,,,,,,,,,,Hot Wheels,,,,,,,,,,,,,,,
FALSE,3093,Alfa Romeo,,1993,155 V6 TI DTM,,,,,,,,,,,Realtoy,1/64,Italy,,,,,,,,,,,,,
FALSE,2270,Alfa Romeo,,1998,156 GTA,,,Road,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 2,,Yes,,,,,,,,,,,,
FALSE,1835,Alfa Romeo,,2003,156 Super 2000,,,,,,,,,,,High Speed,1/64,Italy,,,,,,,,,,,,,
FALSE,2468,Alfa Romeo,,2005,159,,,,,,,,,,City Commuters,Kyosho,Alfa Romeo Minicar Collection 1,,,,,,,,,,,,,,
FALSE,2469,Alfa Romeo,,2006,159 Sportwagon,,,,,,,,,,City Commuters,Kyosho,Alfa Romeo Minicar Collection 2,,,,,,,,,,,,,,
FALSE,2335,Alfa Romeo,,2006,159 Sportwagon,,,,,,,,,,,Unknown,Chinese Emergency Car Line (Unlicenced),Italy,,,,,,,,,,,,,
FALSE,2336,Alfa Romeo,,2006,159 Sportwagon Police,,,,,,,,,,,Unknown,Chinese Emergency Car Line (Unlicenced),Italy,,,,,,,,,,,,,
FALSE,2337,Alfa Romeo,,2006,159 Sportwagon Police,,,,,,,,,,,Unknown,Chinese Emergency Car Line (Unlicenced),Italy,,,,,,,,,,,,,
FALSE,1794,Alfa Romeo,,1974,1600 Junior Z,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 3,Italy,,,,,,,,,,,,,
FALSE,2594,Alfa Romeo,,1974,1600 Junior Z,,,,,,,,,,Retro Sports Cars,Kyosho,Alfa Romeo Minicar Collection 3,Italy,,,,,,,,,,,,,
FALSE,3103,Alfa Romeo,,1963,1750 GTAm,,,,,,,,,,,Kyosho,Alfa Romeo Collection,Italy,,,,,,,,,,,,,
FALSE,2473,Alfa Romeo,,1968,1750 Spider Veloce,,,,,,,,,,Cult Classics,Kyosho,Alfa Romeo Minicar Collection 1,Italy,,,,,,,,,,,,,
FALSE,3510,Alfa Romeo,,1968,33 Bertone Carabo,,,,,,,,,,,Laudoracing,,,,,,,,,,,,,,,
FALSE,1265,Alfa Romeo,,1969,33 Stradale,,,Road,,,,,,,Rare Classics,Hot Wheels,2020 Hot Wheels Boulevard,Italy,Yes,,,,,,,,,,,,
